TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EQTL3;23,45;3,07;7,92;2,24;0,54;33,21;26,64;15,84;4,71;6,62;1,92;0,91;1,25;3,05;-0,85;1,97;28,31;6,88;14,16;0,24;0,71;0,43;19,79;29,14;156.060.937,27;10,46;2,96;0,75;23.585.993.913,90
ESPA3;15,47;0,39;36,18;5,86;2,32;45,65;16,41;19,05;42,02;44,63;2,54;0,35;6,89;9,13;-5,68;1,75;16,21;6,40;1,74;0,40;0,61;0,34;;;29.588.985,82;2,64;0,43;0,76;3.814.959.540,92
ESTR3;17,80;;-0,76;-0,03;0,06;49,54;9,67;-12,10;0,95;6,95;4,32;;0,09;-0,03;-0,12;0,21;-3,72;-7,76;-3,47;-2,09;3,09;0,64;-3,90;;;-631,47;-23,49;0,02;39.824.710,00
ESTR4;65,00;;-2,77;-0,10;0,21;49,54;9,67;-12,10;3,46;6,95;4,32;;0,33;-0,11;-0,45;0,21;-3,72;-7,76;-3,47;-2,09;3,09;0,64;-3,90;;15.896,50;-631,47;-23,49;0,08;39.824.710,00
ETER3;18,21;;4,04;2,55;1,26;43,76;34,19;28,24;3,34;2,89;-0,45;-0,34;1,14;2,52;-4,14;3,57;62,99;31,21;55,36;0,50;0,50;1,11;-6,86;40,09;52.821.850,18;7,17;4,52;0,01;1.139.160.043,00
EUCA3;16,75;2,22;5,27;0,91;0,52;34,04;18,13;13,71;3,99;3,86;0,94;0,21;0,72;5,52;-0,80;1,36;17,23;9,79;11,96;0,57;0,43;0,71;9,47;68,84;40.056,94;18,44;3,18;0,02;1.154.085.309,00
EUCA4;9,99;4,10;3,15;0,54;0,31;34,04;18,13;13,71;2,38;3,86;0,94;0,21;0,43;3,29;-0,48;1,36;17,23;9,79;11,96;0,57;0,43;0,71;9,47;68,84;1.279.252,61;18,44;3,18;0,01;1.154.085.309,00
EVEN3;8,61;8,81;20,40;1,04;0,33;28,94;16,62;4,26;5,24;2,73;-2,51;-0,50;0,87;0,76;-1,48;2,23;5,08;1,59;10,42;0,31;0,55;0,37;-5,40;-18,59;12.981.506,30;8,30;0,42;-1,08;1.823.200.000,00
EZTC3;24,68;1,72;11,85;1,31;1,14;43,02;30,48;46,37;18,02;14,65;-3,38;-0,24;5,49;2,78;-2,18;7,38;11,02;9,65;6,57;0,88;0,11;0,21;2,84;-1,36;60.601.257,24;18,87;2,08;0,24;5.636.410.000,00
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
